Year,Tsu,Location Name,Latitude,Longitude
2004,Terjadi Tsunami,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.316,95.854
2005,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  PALU,-1.198,119.933
2005,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  GARUT,-7.037,107.819
2005,Terjadi Tsunami,INDONESIA:  SUMATERA:  SW,2.085,97.108
2005,Terjadi Tsunami,INDONESIA:  PADANG,-1.644,99.607
2005,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.819,97.082
2005,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  DONGGALA,-1.174,119.963
2005,Tidak Terjadi Tsunami,INDONESIA:  TIMOR:  TIMOR TENGAH UTARA,-9.948,124.48
2006,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-5.473,128.131
2006,Terjadi Tsunami,INDONESIA:  SERAM,-3.595,127.214
2006,Tidak Terjadi Tsunami,INDONESIA:  N. SUMATRA: TAPAKTUAN,3.462,97.224
2006,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  KALIANDAK,-5.575,105.395
2006,Tidak Terjadi Tsunami,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",-7.961,110.446
2006,Terjadi Tsunami,INDONESIA:  JAVA,-9.254,107.411
2006,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI: PINRANG,-3.728,119.233
2006,Tidak Terjadi Tsunami,INDONESIA:  HALMAHERA:  MOROTAI,2.52,128.283
2006,Tidak Terjadi Tsunami,INDONESIA:  SUMABAWA:  BIMA,-8.251,118.777
2006,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",0.626,99.859
2007,Tidak Terjadi Tsunami,INDONESIA:  MOLUCCA ISLANDS:  N,1.065,126.282
2007,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  SOUTHERN,-0.493,100.498
2007,Tidak Terjadi Tsunami,INDONESIA: LABUHA,-1.065,127.343
2007,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  N,2.872,127.464
2007,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-5.968,107.655
2007,Tidak Terjadi Tsunami,INDONESIA:  SITUBONDO,-7.783,114.338
2007,Terjadi Tsunami,INDONESIA:  SUMATRA,-4.438,101.367
2007,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA,-2.625,100.841
2007,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND,-8.277,118.339
2008,Tidak Terjadi Tsunami,"INDONESIA: NEW GUINEA: MANOKWARI,",-0.795,134.012
2008,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.011,97.442
2008,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  ACEH PROVINCE,2.768,95.964
2008,Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-2.486,99.972
2008,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  SOUTHERN,-3.935,103.058
2008,Terjadi Tsunami,INDONESIA:  MINAHASSA PENINSULA,1.271,122.091
2009,Terjadi Tsunami,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.414,132.885
2009,Terjadi Tsunami,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.691,133.305
2009,Terjadi Tsunami,INDONESIA:  KEPULAUAN TALAUD,3.884,126.397
2009,Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-1.479,99.49
2009,Terjadi Tsunami,INDONESIA:  JAVA,-7.782,107.297
2009,Tidak Terjadi Tsunami,INDONESIA:  BALI:  DENPASAR,-9.138,115.593
2009,Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-0.72,99.867
2009,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,-2.515,101.501
2009,Tidak Terjadi Tsunami,INDONESIA:  SUMABAWA:  BIMA,-8.207,118.631
2010,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  GARUT,-7.907,107.879
2010,Terjadi Tsunami,INDONESIA:  SUMATRA,2.383,97.048
2010,Tidak Terjadi Tsunami,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018
2010,Tidak Terjadi Tsunami,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543
2010,Terjadi Tsunami,INDONESIA:  SUMATRA,-3.487,100.082
2011,Tidak Terjadi Tsunami,INDONESIA:   SULAWESI:  KENDARI,-4.586,122.771
2011,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA,2.965,97.893
2012,Terjadi Tsunami,INDONESIA:  N SUMATRA:  OFF WEST COAST,2.327,93.063
2012,Terjadi Tsunami,INDONESIA:  N SUMATRA:  OFF WEST COAST,0.802,92.463
2012,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-7.692,106.371
2012,Tidak Terjadi Tsunami,INDONESIA: BANDA ACEH,2.707,96.045
2012,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",-1.315,120.096
2013,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  N,4.927,95.907
2013,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.305,116.058
2013,Tidak Terjadi Tsunami,INDONESIA:  BANDA ACEH,4.645,96.665
2013,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-8.803,113.002
2013,Tidak Terjadi Tsunami,INDONESIA:  BANDA ACEH,5.103,95.971
2014,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANYUMAS,-7.986,109.265
2014,Terjadi Tsunami,INDONESIA:  N. MOLUCCAS ISLANDS,1.893,126.522
2015,Tidak Terjadi Tsunami,INDONESIA:  PAPUA,-2.629,138.528
2015,Tidak Terjadi Tsunami,INDONESIA:  SORONG,-0.59,131.27
2015,Tidak Terjadi Tsunami,INDONESIA:  EAST NUSA TENGGARA:  ALOR,-8.338,124.875
2016,Tidak Terjadi Tsunami,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229
2016,Terjadi Tsunami,INDONESIA: SUMATRA:,-4.952,94.33
2016,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665
2016,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371
2016,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,-8.194,117.814
2016,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168
2017,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.492,115.323
2017,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  POSO,-1.292,120.431
2017,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  AMBON,-3.745,127.752
2017,Tidak Terjadi Tsunami,INDONESIA: NORTH MALUKU: MOROTAI,2.465,128.148
2017,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-7.492,108.174
2018,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANTEN,-7.092,105.963
2018,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANJARNEGARA,-7.248,109.654
2018,Tidak Terjadi Tsunami,"INDONESIA:  MADURA ISLAND, JAVA",-7.001,113.888
2018,Tidak Terjadi Tsunami,INDONESIA: SUMATRA: SOLOK,-0.969,100.769
2018,Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.24,116.508
2018,Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.258,116.438
2018,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.307,116.23
2018,Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.337,116.599
2018,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.319,116.627
2018,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI,-0.401,119.771
2018,Terjadi Tsunami,INDONESIA:  SULAWESI,-0.256,119.846
2018,Tidak Terjadi Tsunami,"INDONESIA:  MADURA ISLAND, JAVA",-7.453,114.455
2018,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  MAMASA,-2.907,119.392
2019,Tidak Terjadi Tsunami,INDONESIA: SUMATRA: SOLOK,-1.301,101.601
2019,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.418,116.52
2019,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI ISLAND: LUWUK,-1.852,122.553
2019,Tidak Terjadi Tsunami,INDONESIA:  MOLUCCA ISLANDS:  N,-0.529,128.093
2019,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANTEN,-7.267,104.825
2019,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  AMBON,-3.45,128.347
2019,Tidak Terjadi Tsunami,INDONESIA:  PASSO,-3.65,128.216
2019,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  AMBON,-3.61,128.299
2019,Terjadi Tsunami,INDONESIA:  MOLUCCA ISLANDS:  N,1.6,126.416
2020,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  SUKABUMI, BOGOR",-6.808,106.676
2020,Terjadi Tsunami,INDONESIA:  JAVA:  IJEN,-8.058,114.242
2020,Tidak Terjadi Tsunami,INDONESIA: NORTH MALUKU: MOROTAI,2.923,128.248
2021,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",-2.976,118.901
2021,Tidak Terjadi Tsunami,"INDONESIA: JAVA: LUMAJANG, MALANG",-8.562,112.519
2021,Terjadi Tsunami,INDONESIA: MALUKU,-3.593,129.503
2021,Tidak Terjadi Tsunami,INDONESIA: CENTRAL SULAWESI: TOJO UNA-UNA,-0.854,121.523
2021,Tidak Terjadi Tsunami,"INDONESIA: BALI: KARANGASEM, BANGLI",-8.356,115.458
