Year,Tsu,Location Name,Latitude,Longitude
1863,Terjadi Tsunami,INDONESIA:  JAVA,-6.1,106.7
1863,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANYUMAS,-7.5,109.3
1864,Terjadi Tsunami,INDONESIA:   IRIAN JAYA:  MANOKWARI,-1,135
1865,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  AMBARAWA,-7.2,110.3
1867,Terjadi Tsunami,"INDONESIA:  JAVA:  JOGYAKARTA, SURAKARTA",-7.8,110.4
1871,Terjadi Tsunami,INDONESIA:  GORONTALO,0.5,123
1875,Tidak Terjadi Tsunami,INDONESIA:  W JAVA:  KUNINGAN,-6.9,108.3
1876,Terjadi Tsunami,"INDONESIA:  BURU ISLAND, CERAM SEA",-3,127.25
1882,Terjadi Tsunami,INDONESIA:  BANDANEIRA,-4.5,129.9
1885,Terjadi Tsunami,"INDONESIA:  BURU I, AMBON I, HARUKU I",-2.5,127.5
1885,Terjadi Tsunami,INDONESIA:  SUMATRA:  AJERBANGIS,0,99.5
1885,Terjadi Tsunami,INDONESIA:  BANDA ATJEH,5.55,95.3
1886,Terjadi Tsunami,INDONESIA:  KOETA RADJA (ATJEH),5.6,95.3
1887,Terjadi Tsunami,INDONESIA:  SUMATRA:  ACEH:  SIGLI,5.4,96
1888,Terjadi Tsunami,INDONESIA:  SUMATERA:  BREUEH ISLAND,5.8,95
1889,Terjadi Tsunami,INDONESIA:  N. MOLUCCAS ISLANDS,1,126.25
1889,Terjadi Tsunami,"INDONESIA:  MADURA ISLAND, JAVA",-7,113.5
1890,Tidak Terjadi Tsunami,INDONESIA:  BANDANEIRA,-4.5,129.9
1890,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  PATI,-6.76,111.04
1891,Terjadi Tsunami,INDONESIA:  SUMATRA:  ACEH:  SIGLI,5.4,96
1891,Terjadi Tsunami,TIMOR SEA,-9,124
1892,Terjadi Tsunami,"INDONESIA:  SUMATRA:  PADANGSIDIMPUAN, LAKE TOBA",2.5,99.5
1892,Terjadi Tsunami,INDONESIA: SERAM ISLAND,-3,127.75
1896,Tidak Terjadi Tsunami,INDONESIA:  TIMOR:  ALOR ISLAND,-8.25,124.75
1896,Terjadi Tsunami,"INDONESIA:  SW. SUMATRA, JAVA",-3.5,102.5
1897,Terjadi Tsunami,INDONESIA:  KAJUADI ISLAND,-6.8,120.8
1899,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3,128.5
