Year,Tsu,Location Name,Latitude,Longitude,Focal Depth (km),Mag
1964,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  PINRANG,-3.7,119.4,90,5.2
1964,Terjadi Tsunami,INDONESIA:  BANDA ACEH,5.9,95.7,130,7
1965,Terjadi Tsunami,INDONESIA:  SANANA ISLAND,-2.4,126.1,6,7.6
1967,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK",-9.2,113.1,80,6.8
1967,Terjadi Tsunami,INDONESIA:  MAKASSAR STRAIT,-3.7,119.3,33,5.5
1967,Terjadi Tsunami,"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA",5.5,97.3,100,6.1
1968,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-2.9,139.3,65,7.7
1968,Terjadi Tsunami,"INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES",1.4,126.2,25,7.6
1968,Terjadi Tsunami,"INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA",0.2,119.8,23,7.4
1969,Tidak Terjadi Tsunami,"INDONESIA:  TALAUD ISLANDS, MINDANAO, VISAYAN",4.8,127.4,70,7.5
1969,Terjadi Tsunami,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",-3.1,118.9,13,7.4
1969,Tidak Terjadi Tsunami,INDONESIA:  OFF NW COAST SUMATERA,2.1,94.6,20,7.7
1971,Tidak Terjadi Tsunami,"INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",-3.1,139.7,34,8.1
1971,Tidak Terjadi Tsunami,"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN",0.6,98.8,40,7.1
1971,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",-7.2,109.1,35,5.2
1972,Tidak Terjadi Tsunami,INDONESIA:  CELEBES SEA,3.9,124.3,325,7.8
1975,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-6.7,106.7,27,5.6
1976,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-4.603,140.091,33,7.1
1976,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.17,114.888,40,6.5
1976,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,-4.517,139.918,33,7.1
1977,Tidak Terjadi Tsunami,"INDONESIA:  BALI: KAYUBIHI,BANJAR ANTUGAN JEHEM",-8.22,115.19,33,5.2
1977,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA,SINURAT,TALU",0.45,100.02,22,6
1977,Terjadi Tsunami,INDONESIA:  SUNDA ISLANDS,-11.085,118.464,33,8
1979,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.299,115.934,43,5.4
1979,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND,-8.207,115.949,25,5.8
1979,Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.679,136.04,5,7.9
1979,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND,-8.254,115.847,38,6.2
1979,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-7.656,108.252,62,6.1
1979,Tidak Terjadi Tsunami,INDONESIA:  S SUMATERA,-3.299,102.712,33,6.6
1979,Tidak Terjadi Tsunami,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",-8.39,115.889,33,6.3
1980,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  TASIKMALAJA,-8.082,108.793,84,5.8
1981,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS,-4.576,139.232,33,6.7
1982,Tidak Terjadi Tsunami,"INDONESIA:  JAVA, SUKABUMI",-6.863,106.936,40,5.5
1982,Terjadi Tsunami,INDONESIA:  NORTHERN SUMATERA,4.374,97.755,52,5.4
1982,Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND REGION,-9.265,118.479,33,6.4
1982,Tidak Terjadi Tsunami,INDONESIA:  FLORES ISLANDS:  RUTENG,-8.375,120.577,46,5.6
1982,Terjadi Tsunami,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08,33,5.9
1983,Terjadi Tsunami,INDONESIA:  BANDA SEA,-4.056,127.924,17,6.5
