Year,Tsu,Location Name,Latitude,Longitude,Focal Depth (km),Mag
2019,Tidak Terjadi Tsunami,INDONESIA: SUMATRA: SOLOK,-1.301,101.601,10,5.4
2019,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.418,116.52,24,5.5
2019,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI ISLAND: LUWUK,-1.852,122.553,18,6.8
2019,Tidak Terjadi Tsunami,INDONESIA:  MOLUCCA ISLANDS:  N,-0.529,128.093,10,7.3
2019,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANTEN,-7.267,104.825,53,6.9
2019,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  AMBON,-3.45,128.347,18,6.5
2019,Tidak Terjadi Tsunami,INDONESIA:  PASSO,-3.65,128.216,54,5
2019,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  AMBON,-3.61,128.299,50,5
2019,Terjadi Tsunami,INDONESIA:  MOLUCCA ISLANDS:  N,1.6,126.416,33,7.1
2020,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  SUKABUMI, BOGOR",-6.808,106.676,23,5
2020,Tidak Terjadi Tsunami,INDONESIA: NORTH MALUKU: MOROTAI,2.923,128.248,107,6.4
2021,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",-2.976,118.901,18,6.2
2021,Tidak Terjadi Tsunami,"INDONESIA: JAVA: LUMAJANG, MALANG",-8.562,112.519,82,6
2021,Terjadi Tsunami,INDONESIA: MALUKU,-3.593,129.503,10,5.8
2021,Tidak Terjadi Tsunami,INDONESIA: CENTRAL SULAWESI: TOJO UNA-UNA,-0.854,121.523,8,5.5
2021,Tidak Terjadi Tsunami,"INDONESIA: BALI: KARANGASEM, BANGLI",-8.356,115.458,10,5.1
